Camsite,Latitude,Longitude,Hdens,Park_ID,Trail,OffTrail,NVDI,People,Det_dist,ABC
Frozen Head Unhunted 8C,0.361447,-0.8446077,0.041579199,7,0,1,0.796108817,0,1.2,C
Frozen Head Unhunted 9A,0.3614919,-0.8445095,0.035320881,7,1,0,0.911564394,0,1.4,A
Frozen Head Unhunted 9B,0.3614963,-0.8445136,0.034651223,7,0,1,0.911744188,0,1.2,B
Frozen Head Unhunted 9C,0.3615071,-0.8445229,0.033605251,7,0,1,0.912229688,0,1.2,C
Gambrill 10A,0.3947277,-0.7749445,5.68460083,32,1,0,0.870631425,0.345,1.4,A
Gambrill 10B,0.3947303,-0.7749482,5.593018723,32,0,1,0.870491225,0,1,B
Gambrill 10C,0.3947359,-0.7749541,5.410925293,32,0,1,0.870287566,0,1.2,C
Gambrill 1A,0.3946375,-0.7748652,9.719708252,32,1,0,0.86469283,0.629,1.4,A
Gambrill 1C,0.3946277,-0.7748462,10.67240906,32,0,1,0.864112149,0,1.5,C
Gambrill 2A,0.3946579,-0.7748643,8.899223328,32,1,0,0.847267607,0.534,1.7,A
Gambrill 2C,0.3946748,-0.7748581,8.308642578,32,0,1,0.849954272,0,1.8,C
Gambrill 3B,0.3946928,-0.7748841,7.107494354,32,0,1,0.809942271,0.002,0.65,B
Gambrill 4A,0.3948239,-0.7748859,4.132447052,32,1,0,0.869590064,0.166,1.05,A
Gambrill 4B,0.3948254,-0.774883,4.116516876,32,0,1,0.869506061,0,1.3,B
Gambrill 4C,0.3948287,-0.7748685,4.195290375,32,0,1,0.868907101,0,1.4,C
Gambrill 5A,0.3948527,-0.7749008,3.54067688,32,1,0,0.852745344,0.098,1.8,A
Gambrill 5B,0.3948518,-0.7748955,3.638975143,32,0,1,0.852519998,0,1,B
Gambrill 5C,0.3948474,-0.7748754,3.857100296,32,0,1,0.852772928,0,1.2,C
Gambrill 6A,0.3948684,-0.7748933,3.307255173,32,1,0,0.798871872,0.109,0.7,A
Gambrill 6B,0.3948674,-0.774888,3.373418427,32,0,1,0.798805893,0,1,B
Gambrill 6C,0.3948677,-0.7748707,3.569234848,32,0,1,0.799637828,0,1.1,C
Gambrill 7A,0.3948994,-0.7748694,3.111950111,32,1,0,0.695795325,0.134,1.8,A
Gambrill 7B,0.3948946,-0.7748685,3.170341682,32,0,1,0.697999415,0,0.5,B
Gambrill 7C,0.3948844,-0.7748564,3.409224319,32,0,1,0.703871777,0,0.7,C
Gambrill 8A,0.3948803,-0.7749505,2.744756126,32,1,0,0.738468753,0.247,1.3,A
Gambrill 8B,0.3948759,-0.7749484,2.856604004,32,0,1,0.741771808,0,1.7,B
Gambrill 8C,0.3948656,-0.77494,3.126685333,32,0,1,0.742420857,0,1.3,C
