Site,1,2,3,4,5,6,7
Carvins Cove 20A,0,0,0,0,0,0,0
Carvins Cove 20B,0,0,0,0,0,0,0
Carvins Cove 20C,0,0,0,0,0,0,0
Carvins Cove 21B,0,0,0,0,0,0,0
Carvins Cove 21C,0,0,0,0,0,0,0
Carvins Cove 22A,0,0,0,0,0,0,0
Carvins Cove 22B,0,0,0,0,0,0,0
Carvins Cove 23C,0,0,0,0,0,0,0
Carvins Cove 24A,0,0,0,0,0,0,0
Carvins Cove 24C,0,0,0,0,0,0,0
Carvins Cove 25A,0,0,0,0,0,0,0
Carvins Cove 25B,0,0,0,0,0,0,0
Carvins Cove 25C,0,0,0,0,0,0,0
Carvins Cove 32A,0,0,0,0,0,0,0
Carvins Cove 32B,0,0,0,0,0,0,0
Carvins Cove 32C,0,0,1,0,0,0,0
Carvins Cove 33B,0,0,0,0,0,0,0
Carvins Cove 33C,0,0,0,0,0,0,0
Carvins Cove 34A,0,1,0,0,0,0,0
Carvins Cove 34B,0,0,0,0,0,0,0
Carvins Cove 34C,0,0,0,0,0,0,0
Carvins Cove 36A,0,0,0,0,1,0,0
Carvins Cove 36B,0,0,0,0,0,0,0
Carvins Cove 36C,0,0,0,0,0,0,0
Carvins Cove 3A,0,0,0,0,0,0,0
Carvins Cove 3B,0,0,0,0,0,0,0
Carvins Cove 3C,0,0,0,0,0,0,0
Carvins Cove 4A,0,0,0,0,0,0,0
Carvins Cove 4B,0,0,0,0,0,0,0
Carvins Cove 5A,0,0,0,1,0,0,0
Carvins Cove 5B,0,0,0,0,0,0,0
Carvins Cove 6A,0,0,0,0,0,0,0
Carvins Cove 6B,0,0,0,0,0,0,0
Carvins Cove 6C,0,0,0,0,0,0,0
Carvins Cove 7A,0,0,0,0,0,0,0
Carvins Cove 7B,0,0,0,0,0,0,0
Carvins Cove 7C,0,0,0,0,0,0,0
Carvins Cove 8A,0,0,0,0,0,0,0
Carvins Cove 8B,0,0,0,0,0,0,0
Carvins Cove 9A,0,0,0,0,0,0,0
Carvins Cove 9B,0,0,0,0,0,0,0
Carvins Cove 9C,0,0,0,0,0,0,0
Cato/Cunn 13A,0,0,0,0,0,0,0
Cato/Cunn 13B,0,0,0,0,0,0,0
Cato/Cunn 13C,0,0,0,0,0,0,0
Cato/Cunn 15A,0,0,0,0,0,0,0
Cato/Cunn 15B,0,0,0,0,0,0,0
Cato/Cunn 15C,0,0,0,0,0,0,0
Cato/Cunn 17A,0,0,0,0,0,0,0
Cato/Cunn 17B,0,0,0,0,0,0,0
Cato/Cunn 17C,0,0,0,0,0,0,0
Cato/Cunn 18A,0,0,0,0,0,0,0
Cato/Cunn 18B,0,0,0,0,0,0,0
Cato/Cunn 18C,0,0,0,0,0,0,0
Cato/Cunn 19A,0,0,0,0,0,0,0
Cato/Cunn 19B,0,0,0,0,0,0,0
Cato/Cunn 19C,0,0,0,0,0,0,0
Cato/Cunn 20A,0,0,0,0,0,0,0
Cato/Cunn 20B,0,0,0,0,0,0,0
Cato/Cunn 20C,0,0,0,0,0,0,0
Cato/Cunn 22A,0,0,0,0,0,0,0
Cato/Cunn 22B,0,0,0,0,0,0,0
Cato/Cunn 22C,0,0,0,0,0,0,0
Cato/Cunn 24A,0,0,0,0,0,0,0
Cato/Cunn 24B,0,0,0,0,0,0,0
Cato/Cunn 24C,0,0,0,0,0,0,0
Cato/Cunn 25A,0,0,0,0,0,0,0
Cato/Cunn 25B,0,0,0,0,0,0,0
Cato/Cunn 25C,0,0,0,0,0,0,0
Cato/Cunn 26A,0,0,0,0,0,0,0
Cato/Cunn 26B,0,0,0,0,0,0,0
Cato/Cunn 26C,0,0,0,0,0,0,0
Cato/Cunn 35A,0,0,0,0,0,0,0
Cato/Cunn 35B,0,0,0,0,0,0,0
Cato/Cunn 35C,0,0,0,0,0,0,0
Cato/Cunn 51A,0,0,0,0,0,0,0
Cato/Cunn 51B,0,0,0,0,0,0,0
Cato/Cunn 54A,0,0,0,0,0,0,0
